ID;Label;GZ_ID;Contexto-Sup1;Contexto-Sup2;Contexto-Sup3;Contexto-Sup4;REG;Curatos;Anexos;Nucleos;Alcance-tipo;START_;END_;Fecha_Dato;Dato-tipo;Fuente;SUMAS;Nota;Total;Blancos;Indios;Mestizos;Castas;Indefinidos;Blancos-rel;Indios-rel;Mestizos-rel;Castas-rel;Indefinidos-rel;Esclavos;Esclavos-rel;Vecinos-doc;Tributarios-doc;Familias-doc;Total-doc;Eclesiasticos-t-doc;Blancos-t-doc;Indefinidos-t-doc;Indios-t-doc;Mestizos-t-doc;Castas-t-doc;Negros-t-doc;Esclavos-t-doc;Eclesiásticos-m-doc;Eclesiásticos-f-doc;Blancos-m-doc;Blancos-f-doc;Indefinidos-m-doc;Indefinidos-f-doc;Indios-m-doc;Indios-f-doc;Mestizos-m-doc;Mestizos-f-doc;Castas-m-doc;Castas-f-doc;Negros-m-doc;Negros-f-doc;Esclavos-m-doc;Esclavos-f-doc;Blancos-m-cas-doc;Blancos-m-sol-doc;Blancos-m-men-doc;Blancos-f-cas-doc;Blancos-f-sol-doc;Blancos-f-men-doc;Indios-m-cas-doc;Indios-m-sol-doc;Indios-m-men-doc;Indios-f-cas-doc;Indios-f-sol-doc;Indios-f-men-doc;Indefinido-m-cas;Indefinido-m-sol;Indefinido-m-men;Indefinido-f-cas;Indefinido-f-sol;Indefinido-f-men;Mestizos-m-cas-doc;Mestizos-m-sol-doc;Mestizos-m-men-doc;Mestizos-f-cas-doc;Mestizos-f-sol-doc;Mestizos-f-men-doc;Castas-m-cas-doc;Castas-m-sol-doc;Castas-m-men-doc;Castas-f-cas-doc;Castas-f-sol-doc;Castas-f-men-doc;Negros-m-cas-doc;Negros-m-sol-doc;Negros-m-men-doc;Negros-f-cas-doc;Negros-f-sol-doc;Negros-f-men-doc;Esclavos-m-cas-doc;Esclavos-m-sol-doc;Esclavos-m-men-doc;Esclavos-f-cas-doc;Esclavos-f-sol-doc;Esclavos-f-men-doc;Blancos-m-viudos;Blancos-f-viudos;Indios-m-viudos;Indios-f-viudos;Mestizos-m-viudos;Mestizos-f-viudos;Castas-m-viudos;Castas-f-viudos;Negros-m-viudos;Negros-f-viudos;Esclavos-m-viudos;Esclavos-f-viudos;Indefinido-m-viudos;Indefinido-f-viudos;Casas-doc;Familias-Blancos;Familias-Indios;Fam-Indefinidos;Fam-Mestizos;Fam-Castas;Fam-Negros;Fam-Esclavos;Etnia principal;Etnias
1;Guadarrama;0;Guadarrama;;Obispado de Caracas;;VEN;;;;Curato;1820;1820;1820;original;lombardi2;;;1327;366;58;0;903;0;90,82568807;0;0;9,174311927;0;15;1,130369254;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;61;20;70;61;82;72;6;3;15;6;16;12;;;;;;;;;;;;;28;20;43;28;45;42;64;58;157;188;64;151;4;2;1;4;3;1;;;;;;;;;;;;;;;;;;;;;;;;
2;San Pedro;0;San Pedro;;Obispado de Caracas;;VEN;;;;Curato;1810;1810;1810;original;lombardi2;;;1021;540;7;0;474;0;0;0;0;0;0;134;13,12438786;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;76;124;65;79;138;58;0;4;0;0;3;0;;;;;;;;;;;;;32;89;55;28;83;53;0;0;0;0;0;0;12;37;15;10;39;21;;;;;;;;;;;;;;;;;;;;;;;;
3;San Pedro;0;San Pedro;;Obispado de Caracas;;VEN;;;;Curato;1811;1811;1811;original;lombardi2;;;1151;568;38;0;545;0;0,057636888;0;0;0;0;143;12,42397915;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;85;127;73;88;133;62;7;6;5;7;7;6;;;;;;;;;;;;;46;114;60;48;85;49;0;0;0;0;0;0;12;28;23;12;42;26;;;;;;;;;;;;;;;;;;;;;;;;
4;San Pedro;0;San Pedro;;Obispado de Caracas;;VEN;;;;Curato;1816;1816;1816;original;lombardi2;;;938;503;20;0;415;0;0;0;0;0;0;55;5,863539446;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;77;116;49;77;124;60;3;4;2;3;5;3;;;;;;;;;;;;;48;82;41;48;99;42;0;0;0;0;0;0;2;16;4;2;28;3;;;;;;;;;;;;;;;;;;;;;;;;
5;San Pedro;0;San Pedro;;Obispado de Caracas;;VEN;;;;Curato;1817;1817;1817;original;lombardi2;;;869;476;19;0;374;0;0;0;0;0;0;48;5,523590334;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;73;110;43;73;121;56;3;5;2;3;3;3;;;;;;;;;;;;;42;76;37;42;91;38;0;0;0;0;0;0;2;13;4;2;24;3;;;;;;;;;;;;;;;;;;;;;;;;
6;Barquisimeto, Mitad De(1);0;Barquisimeto, Mitad De(1);;Obispado de Caracas;;VEN;;;;Barrio;1802;1802;1802;original;lombardi2;;;5170;862;654;0;3654;0;9,428284855;74,62387161;12,0110331;3,936810431;0;342;6,615087041;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;187;115;97;185;165;110;80;133;97;80;151;113;;;;;;;;;;;;;537;330;210;540;360;260;206;153;156;170;210;180;55;60;45;55;70;57;;;;;;;;;;;;;;;;;;;;;;;;
7;Barquisimeto, Mitad De(2);0;Barquisimeto, Mitad De(2);;Obispado de Caracas;;VEN;;;;Barrio;1802;1802;1802;original;lombardi2;;;5414;720;222;0;4472;0;19,56797967;64,40597205;9,863405337;6,162642948;0;541;9,992611747;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;87;151;85;87;247;59;24;35;38;24;70;31;;;;;;;;;;;;;410;659;608;420;1052;464;37;65;44;97;37;38;30;150;60;30;195;76;;;;;;;;;;;;;;;;;;;;;;;;
8;Barquisimeto, Mitad De(2);0;Barquisimeto, Mitad De(2);;Obispado de Caracas;;VEN;;;;Barrio;1803;1803;1803;original;lombardi2;;;5976;1320;252;0;4404;0;0,265705067;99,73429493;0;0;0;568;9,504685408;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;81;156;90;81;848;60;28;80;36;28;40;40;;;;;;;;;;;;;410;660;688;418;160;40;310;660;50;90;310;40;34;155;65;34;200;80;;;;;;;;;;;;;;;;;;;;;;;;
9;Barquisimeto, Mitad De(1);0;Barquisimeto, Mitad De(1);;Obispado de Caracas;;VEN;;;;Barrio;1803;1803;1803;original;lombardi2;;;5191;866;667;0;3658;0;10,00784929;78,37519623;7,967032967;3,649921507;0;342;6,588325949;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;185;116;99;186;165;113;81;135;98;81;157;115;;;;;;;;;;;;;533;331;215;537;369;261;207;152;153;171;208;179;56;60;45;56;71;54;;;;;;;;;;;;;;;;;;;;;;;;
10;Barquisimeto, Mitad De(2);0;Barquisimeto, Mitad De(2);;Obispado de Caracas;;VEN;;;;Barrio;1804;1804;1804;original;lombardi2;;;5910;1294;262;0;4354;0;12,13592233;70,5963939;11,37309293;5,894590846;0;565;9,560067682;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;84;150;96;84;823;53;28;80;38;28;40;48;;;;;;;;;;;;;400;668;618;408;160;40;319;667;58;86;319;46;30;156;69;30;200;80;;;;;;;;;;;;;;;;;;;;;;;;
11;Barquisimeto, Mitad De(1);0;Barquisimeto, Mitad De(1);;Obispado de Caracas;;VEN;;;;Barrio;1804;1804;1804;original;lombardi2;;;5697;875;680;0;4142;0;1,264004596;91,55415111;0;7,181844298;0;394;6,91592066;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;188;118;99;187;168;113;86;136;99;86;158;115;;;;;;;;;;;;;536;336;215;537;369;261;217;152;153;575;218;179;66;70;49;66;79;64;;;;;;;;;;;;;;;;;;;;;;;;
12;Barquisimeto, Mitad De(2);0;Barquisimeto, Mitad De(2);;Obispado de Caracas;;VEN;;;;Barrio;1805;1805;1805;original;lombardi2;;;5967;1301;259;0;4407;0;11,15604988;73,94674756;9,70677452;5,190428042;0;589;9,87095693;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;86;151;94;86;825;54;27;84;33;27;46;42;;;;;;;;;;;;;405;668;619;408;164;52;321;667;56;87;321;50;36;158;70;36;202;87;;;;;;;;;;;;;;;;;;;;;;;;
13;Barquisimeto, Mitad De(1);0;Barquisimeto, Mitad De(1);;Obispado de Caracas;;VEN;;;;Barrio;1805;1805;1805;original;lombardi2;;;5325;872;630;0;3823;0;8,216136195;64,28571429;19,2450037;8,253145818;0;363;6,816901408;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;189;115;97;188;167;115;85;133;79;85;141;107;;;;;;;;;;;;;600;337;205;607;373;255;218;155;152;177;218;163;63;56;46;63;73;62;;;;;;;;;;;;;;;;;;;;;;;;
14;Barquisimeto, Mitad De(2);0;Barquisimeto, Mitad De(2);;Obispado de Caracas;;VEN;;;;Barrio;1807;1807;1807;original;lombardi2;;;5933;1312;261;0;4360;0;13,87150605;74,48894451;5,757196496;5,882352941;0;567;9,556716669;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;86;152;98;86;834;53;28;80;39;28;42;44;;;;;;;;;;;;;404;668;612;408;170;43;319;660;58;86;319;46;31;156;69;31;200;80;;;;;;;;;;;;;;;;;;;;;;;;
15;Barquisimeto, Mitad De(1);0;Barquisimeto, Mitad De(1);;Obispado de Caracas;;VEN;;;;Barrio;1807;1807;1807;original;lombardi2;;;5994;434;567;0;4993;0;0,585573596;98,05696034;0,532339633;0,825126431;0;719;11,99532866;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;64;76;71;58;84;79;34;80;199;40;93;121;;;;;;;;;;;;;320;938;602;325;990;599;56;130;53;163;42;56;50;222;52;59;271;65;;;;;;;;;;;;;;;;;;;;;;;;
16;Barquisimeto, Mitad De(2);0;Barquisimeto, Mitad De(2);;Obispado de Caracas;;VEN;;;;Barrio;1808;1808;1808;original;lombardi2;;;5536;1168;230;0;4138;0;11,22411243;80,39940828;6,823224852;1,553254438;0;496;8,959537572;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;80;140;90;80;723;51;25;76;30;25;34;40;;;;;;;;;;;;;350;651;602;354;150;40;369;650;50;76;309;41;30;140;60;30;166;70;;;;;;;;;;;;;;;;;;;;;;;;
17;Barquisimeto, Mitad De(1);0;Barquisimeto, Mitad De(1);;Obispado de Caracas;;VEN;;;;Barrio;1808;1808;1808;original;lombardi2;;;6044;446;637;0;4961;0;6,115563054;88,02193167;0;5,862505272;0;723;11,96227664;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;67;79;76;67;75;81;35;81;198;35;93;195;;;;;;;;;;;;;327;939;515;330;977;617;57;130;58;163;58;67;52;223;58;52;272;66;;;;;;;;;;;;;;;;;;;;;;;;
18;Barquisimeto, Mitad De(1);0;Barquisimeto, Mitad De(1);;Obispado de Caracas;;VEN;;;;Barrio;1809;1809;1809;original;lombardi2;;;6384;479;567;0;5338;0;10,15398865;73,60194512;13,75477596;2,489290263;0;783;12,26503759;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;68;89;78;68;85;89;38;89;100;36;99;205;;;;;;;;;;;;;337;999;615;338;997;677;60;139;88;169;59;77;53;229;88;55;278;80;;;;;;;;;;;;;;;;;;;;;;;;
19;Barquisimeto, Mitad De(1);0;Barquisimeto, Mitad De(1);;Obispado de Caracas;;VEN;;;;Barrio;1810;1810;1810;original;lombardi2;;;5995;434;567;0;4994;0;14,50987465;55,61367121;7,205338624;22,67111552;0;720;12,01000834;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;64;76;71;58;84;79;34;80;199;40;93;121;;;;;;;;;;;;;320;938;602;325;990;599;56;130;53;163;42;56;50;223;52;59;271;65;;;;;;;;;;;;;;;;;;;;;;;;
20;Barquisimeto, Mitad De(1);0;Barquisimeto, Mitad De(1);;Obispado de Caracas;;VEN;;;;Barrio;1811;1811;1811;original;lombardi2;;;6440;497;604;0;5339;0;12,39464551;55,16443563;12,67559081;19,76532804;0;785;12,18944099;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;69;91;91;69;86;90;44;93;112;44;105;206;;;;;;;;;;;;;345;999;617;345;997;677;59;141;70;168;59;77;53;230;80;53;279;90;;;;;;;;;;;;;;;;;;;;;;;;
21;Barquisimeto, Mitad De(1);0;Barquisimeto, Mitad De(1);;Obispado de Caracas;;VEN;;;;Barrio;1817;1817;1817;original;lombardi2;;;5910;285;1286;0;4339;0;10,57764441;55,06376594;11,70292573;22,65566392;0;136;2,301184433;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;28;65;35;28;90;38;155;237;193;155;361;185;;;;;;;;;;;;;522;793;563;523;1302;485;1;2;0;11;1;0;7;50;16;6;49;8;;;;;;;;;;;;;;;;;;;;;;;;
22;Barquisimeto, Mitad De(1);0;Barquisimeto, Mitad De(1);;Obispado de Caracas;;VEN;;;;Barrio;1818;1818;1818;original;lombardi2;;;4546;132;1094;0;3320;0;4,237918216;81,26394052;2,022304833;12,47583643;0;125;2,74967004;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;12;37;9;12;55;5;137;204;199;137;233;184;;;;;;;;;;;;;283;628;424;283;1045;369;13;32;20;70;13;15;9;45;12;9;40;10;;;;;;;;;;;;;;;;;;;;;;;;
